_unit_id,_created_at,_id,_started_at,rewire_id,text,does_the_text_contain_hate_speech
3236289745,03/04/2022 8:37,6338676817,03/04/2022 8:36,kenya2022_english-1,and what if I'm haruto? 🥺,non-hateful
3236289745,03/04/2022 19:27,6339384908,03/04/2022 19:26,kenya2022_english-1,and what if I'm haruto? 🥺,non-hateful
3236289745,03/06/2022 13:50,6340126593,03/06/2022 13:48,kenya2022_english-1,and what if I'm haruto? 🥺,non-hateful
3236289746,03/02/2022 15:07,6336784732,03/02/2022 15:06,kenya2022_english-2,Noooo Ruto.... Pls do whatever you want 🥺🥺😩,non-hateful
3236289746,03/04/2022 3:10,6338450190,03/04/2022 3:09,kenya2022_english-2,Noooo Ruto.... Pls do whatever you want 🥺🥺😩,non-hateful
3236289746,03/04/2022 13:55,6338901849,03/04/2022 13:54,kenya2022_english-2,Noooo Ruto.... Pls do whatever you want 🥺🥺😩,non-hateful
3236289747,03/02/2022 14:38,6336764593,03/02/2022 14:24,kenya2022_english-3,[USER] The only problem Kenya can cause in Russia is give them Ruto. He'll steal everything,non-hateful
3236289747,03/04/2022 2:33,6338416894,03/04/2022 2:31,kenya2022_english-3,[USER] The only problem Kenya can cause in Russia is give them Ruto. He'll steal everything,non-hateful
3236289747,03/04/2022 12:08,6338821600,03/04/2022 11:56,kenya2022_english-3,[USER] The only problem Kenya can cause in Russia is give them Ruto. He'll steal everything,non-hateful
3236289748,03/02/2022 15:04,6336783074,03/02/2022 15:03,kenya2022_english-4,When will ngilu burn her finance offices again?,non-hateful
3236289748,03/04/2022 3:07,6338447528,03/04/2022 3:05,kenya2022_english-4,When will ngilu burn her finance offices again?,non-hateful
3236289748,03/04/2022 13:42,6338892267,03/04/2022 13:39,kenya2022_english-4,When will ngilu burn her finance offices again?,non-hateful
3236289749,03/04/2022 7:40,6338641990,03/04/2022 7:39,kenya2022_english-5,"[USER] Ruto is mature,he can't settle that low like a mlevi",non-hateful
3236289749,03/04/2022 19:17,6339378141,03/04/2022 19:17,kenya2022_english-5,"[USER] Ruto is mature,he can't settle that low like a mlevi",non-hateful
3236289749,03/06/2022 12:58,6340111673,03/06/2022 12:57,kenya2022_english-5,"[USER] Ruto is mature,he can't settle that low like a mlevi",non-hateful
3236289750,03/02/2022 15:00,6336780772,03/02/2022 14:59,kenya2022_english-6,"For the food crisis that we are able to experience in our country, I blame Raila #TheCoupMaster",non-hateful
3236289750,03/04/2022 3:02,6338443144,03/04/2022 2:57,kenya2022_english-6,"For the food crisis that we are able to experience in our country, I blame Raila #TheCoupMaster",non-hateful
3236289750,03/04/2022 13:37,6338888811,03/04/2022 13:35,kenya2022_english-6,"For the food crisis that we are able to experience in our country, I blame Raila #TheCoupMaster",non-hateful
3236289751,03/04/2022 7:17,6338626925,03/04/2022 7:15,kenya2022_english-7,[USER] You have truly dedicated your absolute strength in hating Raila.,non-hateful
3236289751,03/04/2022 19:03,6339368384,03/04/2022 19:01,kenya2022_english-7,[USER] You have truly dedicated your absolute strength in hating Raila.,non-hateful
3236289751,03/04/2022 19:46,6339395777,03/04/2022 19:38,kenya2022_english-7,[USER] You have truly dedicated your absolute strength in hating Raila.,non-hateful
